BSG	AF	Ani	Ecc	EqD	prolif1	prolif2	alp	ars	vAF	vAni	vEcc	vEqD	tlength	tvolume	tnodes	scr	ulength	uarea	uvolume	vlength	varea	vvolume
20	0.000049	0.776002	0.88091	16.1165	0.767865	1.28032	0.811587	0.917147	1.858261	0.440372	0.394776	0.997603	2.100363	1.957762	0.556179	0.64589	0.536019	2.139137	0.974864	0.440033	2.074563	2.542907
10	0.00008	0.333333	0.57735	4.51352	0.635931	0.781175	0.791828	0.697123	0.860488	0.464973	0.40458	0.618043	1.092665	2.02866	1.687107	0.068638	0.77771	1.891453	2.408719	1.175197	1.879773	2.632981
5	0.000073	0.666182	0.8162	3.74241	0.68528	0.752407	0.788814	0.632208	0.804032	0.40026	0.356508	1.547864	1.16835	1.161732	1.299344	0.875376	0.787049	2.122552	1.558687	0.685368	1.542821	2.11477
10	0.000023	0.550686	0.742082	5.17088	0.477464	0.896554	0.794197	0.141096	0.558211	0.425187	0.218338	0.70387	1.156496	1.082579	1.611832	1.677044	0.762831	2.764794	2.55625	2.198857	2.208376	2.070863
5	0.00008	0.625	0.790569	2.76395	0.68618	0.749799	1.720156	0.141096	0.803344	0.407269	0.196131	0.214208	1.170845	0.30244	1.297941	0.632116	0.810796	0.08987	1.833218	0.424515	1.700469	1.957714
10	0.000077	0.333333	0.57735	4.51352	0.643739	1.233323	0.485814	0.78463	0.992275	0.283027	0.56147	0.846132	0.129674	1.057932	1.737544	0.722412	0.059534	1.609509	2.707699	0.916525	2.115795	2.2506
10	0.00018	0.933883	0.966376	8.51908	0.534058	0.75913	1.720156	0.708432	1.197387	0.531206	0.509116	1.085047	1.093522	1.085624	1.308198	0.231192	2.273729	1.795904	1.73963	3.28297	1.78665	0.139014
20	0.00011	0.987328	0.993644	6.86366	0.129915	0.763411	0.266693	1.010371	1.277625	0.268003	0.182033	1.085047	1.425345	1.849703	1.484952	0.706344	0.674555	3.215647	1.688558	1.333539	2.04347	1.940635
10	0.000061	0.486107	0.697213	3.38514	0.115259	0.844507	0.789785	1.010371	0.958815	0.292267	0.377235	0.873654	1.107041	1.05225	0.556179	0.231192	0.79521	1.194492	2.432777	0.911801	0.460537	1.554952
10	0.000012	0.571588	0.756035	7.22515	0.202654	0.865223	0.783687	0.983482	0.813524	0.413667	0.397236	0.839503	1.310771	1.078257	1.354353	0.743545	0.743704	1.711882	2.447801	0.288357	1.366968	0.951038
5	0.000029	0.516964	0.719002	5.6419	0.686082	0.753846	0.779583	0.628933	1.236664	0.39466	0.419775	0.648562	1.166933	1.159642	1.300928	0.748056	0.760829	1.78347	1.627399	0.902051	1.590728	1.819517
20	0.000098	0.716101	0.846227	6.38308	0.623925	0.517197	0.861353	0.917147	0.847049	0.041687	0.627128	0.859112	1.208934	0.947407	1.162152	0.632116	0.092906	3.107227	2.512365	0.941579	2.130964	1.930742
20	0.000151	0.533333	0.730297	3.19154	0.416365	0.865223	0.92268	0.65892	2.049616	0.510493	0.315435	0.997603	1.253906	0.150361	2.799463	0.725787	3.424748	3.27271	2.935833	0.593343	1.98858	1.786627
20	0.000098	0.918483	0.958375	6.48204	0.533885	0.792647	0.413272	0.650422	0.828954	0.53278	0.508153	0.207109	1.366632	1.207591	2.181739	0.875376	3.57951	1.421011	0.581816	0.617416	2.131964	1.92748
5	0.000015	0.333333	0.57735	4.51352	0.68762	0.753735	1.170158	0.917147	0.8042	0.413897	0.392121	1.006887	1.167556	1.160098	1.300354	0.748226	0.779844	2.184645	1.524621	2.421223	1.745482	2.252012
5	0.000106	0.601513	0.775573	8.21472	0.914921	1.244554	0.767801	0.917147	0.805073	0.610267	0.339508	0.826806	1.164965	1.156675	1.303644	0.750206	0.719852	1.627859	1.504877	1.463092	1.59833	1.669271
5	0.000051	0.392308	0.626345	4.22201	1.635812	1.444785	0.78717	1.010371	0.803875	0.398575	0.391817	0.633327	1.168171	1.161644	1.30023	0.068638	0.780102	1.291555	1.520368	0.904249	1.283913	1.467055
10	0.000015	0.909024	0.953428	13.159	0.400501	0.737509	1.720156	0.590133	1.434744	0.442107	0.053644	0.53028	1.563683	1.169274	0.857611	0.716685	0.569709	3.129353	1.212367	2.105139	1.978332	0.041367
5	0.000011	0.831095	0.911644	6.77028	0.687875	1.468289	0.246467	0.659841	0.348516	0.440372	0.429434	0.826806	1.164407	1.576108	1.30291	0.749507	0.741031	2.159466	1.592147	3.28297	1.874136	2.121872
10	0.000061	0.624064	0.789977	5.04627	0.67345	0.844507	0.782132	0.917147	0.56799	0.355308	0.419666	0.214208	1.161915	1.066124	1.564392	0.72113	0.770297	2.225154	2.640327	0.617114	1.927808	2.700831
10	0.000015	0.69552	0.833978	5.6419	0.510948	1.244554	0.413272	0.103117	0.033056	0.355308	0.466995	0.214208	1.225722	0.909502	1.496138	0.875376	0.059534	2.828425	2.82586	0.738112	1.977675	2.574082
5	0.000102	0.697922	0.835417	6.07651	0.686279	0.189886	0.780111	0.654037	0.430743	0.413897	0.188228	1.443813	1.60126	1.158538	1.301647	0.748876	0.750946	2.628134	1.478341	1.523591	1.797728	2.085337
5	0.000015	0.625	0.790569	2.76395	0.770742	0.749587	1.720156	0.103117	0.803518	0.343461	0.346313	0.754063	1.169347	1.162229	1.298322	0.632116	0.372211	1.703337	1.560613	0.904036	1.551443	2.160948
5	0.000135	0.579293	0.761113	13.6809	0.692222	0.551948	1.720156	0.78463	1.038584	0.309085	0.389203	1.089603	0.16933	1.148344	1.308009	1.677044	1.146628	1.740449	1.751707	0.180329	1.938247	1.30235
20	0.000049	0.971779	0.985788	2.25676	0.409549	0.517197	0.806527	0.660998	0.803556	0.424777	0.397656	0.794019	1.07702	0.905519	1.21286	0.732345	0.059534	3.588117	3.201401	1.264978	2.073379	1.670689
10	0.000015	0.434987	0.659535	5.41152	0.660307	1.225495	0.504011	1.010371	0.885501	0.609586	0.303715	1.161812	1.217513	1.066547	0.556179	0.632116	0.771362	0.867532	2.539241	0.310183	1.586209	2.033339
20	0.000064	0.5	0.707107	5.86323	0.522737	0.788067	1.579502	0.658918	1.065943	0.531206	0.419775	0.869176	1.461878	0.7386	2.010443	0.709536	0.399793	3.23656	3.26449	1.663934	1.366968	2.075968
10	0.000092	0.273653	0.523119	4.91849	0.477464	0.778192	0.504011	0.983482	0.141266	0.6736	0.416093	0.707188	1.164707	0.353686	1.578385	0.715475	0.967768	0.826513	2.755917	2.105139	1.908882	1.830772
10	0.000053	0.341258	0.584173	5.52791	0.129915	0.666225	0.485814	0.103117	0.700319	0.384461	0.420507	0.730402	1.165167	1.054639	0.556179	0.068638	2.78739	0.109377	2.300198	0.221492	1.461756	1.276037
5	0.000048	0.696456	0.834539	7.04673	0.685614	0.754771	0.77001	1.010371	1.277625	0.15393	0.094021	0.798449	1.165635	1.893698	1.302893	0.231192	0.738309	1.879821	1.363981	0.901244	1.508353	1.42448
20	0.000151	0.768103	0.876415	3.19154	0.914921	1.444785	0.36934	1.010371	0.736951	0.25538	0.447495	1.043848	0.009463	1.059707	1.862073	0.875376	0.732139	2.912157	0.955146	1.128617	2.204996	1.696687
5	0.000099	0.862701	0.928817	6.57952	0.950965	0.896554	0.775383	0.641177	0.803228	0.388982	0.450434	1.01617	1.525361	0.368517	5.408166	0.632116	1.079886	1.835142	1.697899	0.472344	2.490171	1.507936
20	0.000064	0.790089	0.88887	5.41152	1.635812	0.786988	0.529006	0.103117	1.070411	0.425169	0.399693	0.763893	0.899784	1.362414	1.275618	0.711731	0.66649	3.615995	3.646017	0.063751	2.162391	0.355104
5	0.00008	0.397316	0.63033	4.22201	0.684725	0.752485	0.317128	1.010371	0.803911	0.398592	0.189045	0.768463	1.167993	1.161756	1.300061	0.231192	0.784128	2.181513	1.529952	0.902975	1.539165	1.980216
20	0.000015	0.075758	0.275241	5.41152	1.942191	0.189886	1.579502	0.141096	1.83778	0.390914	0.454604	1.020799	0.885367	0.480489	0.556179	0.704138	0.637298	3.163604	4.231264	0.964378	2.36926	1.830316
20	0.000034	0.694823	0.83356	4.37019	0.129915	0.517197	0.485814	0.670514	2.28934	0.317052	0.270252	0.908347	1.486981	1.546353	4.605641	0.71211	0.456017	10.786816	10.236464	2.068704	2.203538	1.797955
5	0.000088	0.824042	0.907767	5.52791	0.68493	0.753732	1.014114	0.917147	0.341943	0.425897	0.45997	0.779725	1.736467	1.159572	1.301273	0.068638	0.759595	1.818605	1.499319	0.682341	1.418467	1.825204
5	0.000036	0.930723	0.96474	9.64088	1.635812	0.517197	0.760947	0.103117	1.414263	0.534728	0.616799	0.815555	0.305463	0.460882	1.304934	1.677044	1.06473	0.666649	1.958601	0.912159	3.418968	3.560724
20	0.000076	0.258663	0.508589	6.07651	0.641819	0.677264	0.852233	0.983482	0.912803	0.420354	0.602726	0.807325	0.989647	0.842227	1.598498	0.068638	0.967768	3.028202	2.709602	0.983433	2.05185	1.931532
20	0.000027	0.890747	0.943794	3.56825	0.166287	0.865223	1.579502	0.103117	1.414263	0.041687	0.506824	1.139375	0.946419	0.845164	1.704523	1.677044	0.605719	3.675226	3.729951	0.908085	0.188798	1.676982
5	0.000026	0.690843	0.83117	7.65304	0.687871	0.865223	0.769241	0.103117	0.805035	0.429075	0.391472	1.01617	1.164997	1.851577	1.303156	0.748405	0.724919	1.746321	1.623003	0.81189	1.74204	1.78509
5	0.000175	0.839389	0.916182	8.13686	0.481507	0.490985	0.770972	0.917147	0.804925	0.533351	0.182033	0.353849	1.165632	0.159768	1.302836	0.749826	0.725237	2.091101	1.622839	0.901036	1.59374	1.740216
5	0.00004	0.556493	0.745985	3.74241	1.077121	1.244554	0.504011	0.983482	0.803806	0.490665	0.472336	0.77051	0.065577	1.163148	1.299869	0.068638	0.077327	1.259727	1.604131	0.903901	1.300874	1.907383
10	0.000023	0.855159	0.924748	2.76395	0.601927	0.896554	1.170158	0.657686	1.018104	0.737951	0.07479	1.1975	1.045858	1.058132	1.841623	1.677044	0.769533	2.148757	2.425486	0.915203	1.839502	2.145845
20	0.000121	0.47879	0.691947	2.25676	0.613288	0.787738	0.781724	1.010371	0.039475	0.320866	0.607774	0.493564	0.845126	0.590736	0.115089	0.735461	0.627511	3.711079	3.754171	1.495401	0.643488	1.838875
5	0.000095	0.480328	0.693057	3.38514	1.077121	1.225495	0.788127	0.103117	0.800314	0.017833	0.062619	0.714557	1.168013	1.159002	1.300426	1.677044	0.782662	0.482947	1.701546	1.984439	4.566544	5.360209
5	0.000073	0.638265	0.798915	4.65243	0.684381	0.75194	0.10768	0.917147	0.803872	0.22971	0.414814	0.784384	1.168239	1.161835	1.30053	0.068638	0.05179	1.920726	0.608704	0.281993	1.300855	1.881078
10	0.000096	0.791645	0.889744	9.4407	0.375592	0.787757	0.774993	0.917147	1.077591	0.05349	0.361837	1.080491	1.409152	1.100801	1.150244	0.632116	0.053321	1.332168	2.715312	1.346211	1.899734	1.199782
5	0.000055	0.533662	0.730522	6.57952	0.685588	0.755659	0.317128	0.638778	0.805165	0.423393	0.403849	1.617353	1.174885	0.030301	1.301563	0.748523	0.742036	2.880096	1.373242	0.872692	1.308036	1.997137
20	0.000189	0.804439	0.896905	14.3619	0.477464	0.789119	0.785375	0.652047	1.373302	0.546384	0.530031	0.214208	2.074077	1.907539	0.556179	0.657783	0.571178	2.252141	1.317825	1.186879	2.516873	2.421175
10	0.000126	0.5	0.707107	4.65243	2.01428	0.728164	0.786006	0.141096	0.546783	0.292829	0.088997	0.020827	0.977876	1.081972	1.72574	0.875376	0.533278	2.652881	3.311966	1.357303	7.294423	9.242634
5	0.000036	0.144721	0.380422	2.98541	0.68351	0.751208	0.504011	0.917147	0.901946	0.268003	0.296959	0.792759	1.169296	1.162469	0.556179	0.748399	0.229451	2.268859	1.693821	0.901424	1.534181	2.323833
20	0.000129	0.955838	0.97767	6.48204	0.045047	0.471514	1.720156	0.657769	0.533257	0.072563	0.422349	0.08652	1.009537	0.563048	0.556179	0.707301	0.730262	2.987205	2.866807	1.506366	2.050317	1.938074
10	0.000107	0.625	0.790569	2.25676	0.63437	0.666225	0.785612	0.667321	1.00545	0.425736	0.536116	0.726234	1.005173	1.057903	0.556179	0.231192	0.065324	0.710157	2.554795	1.184045	1.27123	3.354501
5	0.000102	0.625	0.790569	2.76395	0.678656	1.233323	0.807242	0.613018	0.133318	0.157876	0.354788	0.710611	0.849678	1.155115	1.298839	0.750316	0.778586	7.914	1.503692	0.288357	6.010739	10.208265
10	0.000077	0.473191	0.687889	6.86366	0.803117	0.781868	0.771313	1.010371	2.186254	0.662229	0.346313	0.482982	1.198	0.733812	1.441	0.068638	0.753277	2.101262	1.985339	0.650026	1.65112	1.793752
